poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
radyvsgosvatogo,radyvsgosvatogo,tweet,mon nov 21 05:29:32 +0000 2016,800571829291253760,"Лента, утра! 
Это я еду на учебу 👇🏿 https://t.co/humzs0trl1",[],False
sowa_apple,minminnay,mentions,mon nov 21 05:33:02 +0000 2016,800572710082334721,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
thunbew,minminnay,mentions,mon nov 21 05:38:08 +0000 2016,800573993539383296,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
jazzesper,jazzesper,tweet,mon nov 21 05:38:51 +0000 2016,800574173907038208,"""quisiera aventar a los que me hacen enojar por la puerta lunar"" -mamá #bestmomever #moondoor #gameofthrones ^_^ https://t.co/klmqamoanz","['bestmomever', 'moondoor', 'gameofthrones']",False
chimdakid,chimdakid,tweet,mon nov 21 05:47:04 +0000 2016,800576241669640196,....#sceneever  #gameofthrones https://t.co/fjzg7mtk8c,"['sceneever', 'gameofthrones']",False
ladysealion,minminnay,mentions,mon nov 21 05:49:27 +0000 2016,800576841480224768,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
ar_jaa,minminnay,mentions,mon nov 21 05:52:20 +0000 2016,800577567077978112,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
monchou_do,minminnay,mentions,mon nov 21 05:56:55 +0000 2016,800578720507445248,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
impossible_cut,abfalecbaldwin,mentions,mon nov 21 05:58:37 +0000 2016,800579148355760128,"rt @abfalecbaldwin: ...@realdonaldtrump 
equal time?
election is over. there is no more equal time. now u try 2 b pres + ppl respond. that'…",[],True
impossible_cut,realdonaldtrump,mentions,mon nov 21 05:58:37 +0000 2016,800579148355760128,"rt @abfalecbaldwin: ...@realdonaldtrump 
equal time?
election is over. there is no more equal time. now u try 2 b pres + ppl respond. that'…",[],True
amandsst,amandsst,tweet,mon nov 21 05:59:40 +0000 2016,800579412576129025,game of thrones is finally attempting to fix its portrayal... https://t.co/hisexvzeru #gameofthrones,['gameofthrones'],False
barrypi,barrypi,tweet,mon nov 21 06:00:06 +0000 2016,800579521648988160,"i shouldnt make jokes. my mother taught me not to throw stones at cripples. but my father taught me, aim for their head. #gameofthrones",['gameofthrones'],False
redwonderwall,nika_nika666,mentions,mon nov 21 06:10:37 +0000 2016,800582168237850624,"rt @nika_nika666: Доброе утро лента🌸
Удачной вам недели💕 https://t.co/0owwdz1rb0",[],True
anissira,anissira,tweet,mon nov 21 06:10:58 +0000 2016,800582256310054912,‘game of thrones’ definitively reveals jon... https://t.co/f2pd0jokhw #gameofthrones,['gameofthrones'],False
m_djz,minminnay,mentions,mon nov 21 06:11:11 +0000 2016,800582310840057856,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
